CSDUID,Population
3558062,455
3558063,91
3558064,366
3558065,254
3558066,1932
3558067,217
3558068,404
3558069,191
3558075,4323
3558076,379
3558077,0
3558080,92
3558085,239
3558090,6113
3558095,0
3558097,395
3558100,0
3559001,2770
3559011,984
3559012,7749
3559016,916
3559019,1447
3559024,719
3559026,236
3559030,5
3559031,489
3559040,552
3559042,815
3559047,231
3559048,0
3559051,241
3559052,10
3559053,99
3559060,181
3559061,117
3559062,0
3559063,941
3559064,161
3559065,0
3559066,322
3559068,216
3559069,5
3559090,1358
3560001,1192
3560004,616
3560005,103
3560007,0
3560008,601
3560010,15766
3560021,1097
3560024,238
3560027,7861
3560032,977
3560034,5638
3560042,4205
3560046,201
3560049,351
3560050,1506
3560051,1486
3560052,270
3560053,1095
3560054,672
3560055,543
3560056,1045
3560057,181
3560058,620
3560059,957
3560060,102
3560061,885
3560063,328
3560064,162
3560065,66
3560066,453
3560067,507
3560068,419
3560069,149
3560070,923
3560071,2247
3560075,1141
3560076,561
3560077,2203
3560078,344
3560079,867
3560080,312
3560081,0
3560082,75
3560083,133
3560084,74
3560085,732
3560086,411
3560088,460
3560089,208
3560090,7294
3560091,209
3560093,254
3560095,381
3560096,909
3560097,301
3560098,548
3560100,22
3560102,0
3560104,493
